PM2.5,CO2,VOC,Temperature,Humidity,AQI
100,490,360,27,49,Hazardous
44,419,80,27,70,Moderate
50,620,206,28,56,Moderate
56,1964,411,22,66,Moderate
122,923,358,25,55,Hazardous
132,1643,470,36,50,Hazardous
107,1746,128,23,41,Hazardous
18,1929,215,37,85,Good
77,1802,263,32,84,Poor
179,1909,454,29,66,Hazardous
135,685,106,25,53,Hazardous
100,922,441,35,61,Hazardous
174,1720,192,38,53,Hazardous
52,1532,263,28,30,Moderate
25,786,483,24,48,Good
120,886,461,32,30,Hazardous
105,1293,180,28,72,Hazardous
68,443,453,24,45,Poor
133,491,384,32,48,Hazardous
24,658,189,33,45,Good
14,1474,264,35,85,Good
176,1591,199,27,42,Hazardous
36,1670,159,34,73,Moderate
27,1632,244,28,81,Good
73,1463,375,27,45,Poor
34,886,467,25,42,Moderate
143,575,205,22,38,Hazardous
49,1794,389,38,61,Moderate
38,738,391,24,30,Moderate
99,1828,181,22,77,Poor
110,400,53,24,58,Hazardous
11,1470,228,23,57,Good
102,1147,362,35,47,Hazardous
85,1583,121,25,84,Poor
136,911,358,24,85,Hazardous
162,1946,308,33,85,Hazardous
82,548,379,31,81,Poor
33,1786,372,31,54,Moderate
144,1731,457,26,56,Hazardous
111,1493,130,26,50,Hazardous
170,915,118,32,34,Hazardous
47,1522,278,21,32,Moderate
157,1553,411,31,40,Hazardous
36,718,163,29,79,Moderate
28,1055,180,29,58,Good
14,1955,179,32,31,Good
68,831,211,26,45,Poor
119,1230,367,22,83,Hazardous
7,800,152,38,62,Good
169,1668,402,29,33,Hazardous
11,1789,153,25,68,Good
62,1795,368,26,68,Poor
112,1482,183,20,51,Hazardous
32,1002,232,38,46,Moderate
63,1327,465,27,36,Poor
74,472,331,24,61,Poor
110,1159,335,20,44,Hazardous
111,1914,156,33,47,Hazardous
169,1028,51,29,83,Hazardous
146,1363,147,35,43,Hazardous
103,1310,118,23,77,Hazardous
91,691,273,23,37,Poor
36,639,418,33,77,Moderate
161,831,107,33,59,Hazardous
78,924,425,36,82,Poor
147,480,80,38,44,Hazardous
33,1196,188,35,72,Moderate
61,1818,287,21,42,Poor
27,1658,494,35,56,Good
49,1720,74,38,39,Moderate
21,1342,73,25,71,Good
45,806,418,27,41,Moderate
103,1009,499,27,35,Hazardous
60,987,300,35,73,Poor
167,1788,365,30,49,Hazardous
137,1160,378,30,78,Hazardous
20,965,498,20,52,Good
141,1262,316,28,73,Hazardous
59,909,249,24,33,Moderate
29,509,419,38,50,Good
116,1520,156,30,58,Hazardous
70,1527,410,22,47,Poor
53,1929,83,33,82,Moderate
22,832,275,22,45,Good
9,1411,244,36,81,Good
57,903,206,34,42,Moderate
5,1747,131,31,62,Good
103,1999,397,23,76,Hazardous
40,1381,50,24,72,Moderate
164,905,350,30,78,Hazardous
19,1349,381,35,31,Good
125,453,334,36,56,Hazardous
144,1828,446,36,49,Hazardous
45,364,297,37,72,Moderate
166,915,281,21,82,Hazardous
123,1739,193,26,34,Hazardous
59,1399,235,35,51,Moderate
14,1522,312,26,58,Good
89,949,430,36,65,Poor
55,1741,190,34,69,Moderate
139,1991,282,34,47,Hazardous
18,997,267,20,59,Good
143,1640,406,32,39,Hazardous
42,1054,451,38,49,Moderate
94,1947,124,33,83,Poor
24,1043,477,29,85,Good
133,375,250,28,47,Hazardous
133,1705,418,38,34,Hazardous
41,1263,122,22,58,Moderate
114,568,144,35,60,Hazardous
23,830,52,33,49,Good
140,1476,331,35,63,Hazardous
115,644,84,30,77,Hazardous
